index,title,genres,tag
0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,funny
1,Jumanji (1995),Adventure|Children|Fantasy,Highly quotable
2,Grumpier Old Men (1995),Comedy|Romance,will ferrell
3,Waiting to Exhale (1995),Comedy|Drama|Romance,Boxing story
4,Father of the Bride Part II (1995),Comedy,MMA
5,Heat (1995),Action|Crime|Thriller,Tom Hardy
6,Sabrina (1995),Comedy|Romance,drugs
7,Tom and Huck (1995),Adventure|Children,Leonardo DiCaprio
8,Sudden Death (1995),Action,Martin Scorsese
9,GoldenEye (1995),Action|Adventure|Thriller,way too long
10,"American President, The (1995)",Comedy|Drama|Romance,Al Pacino
11,Dracula: Dead and Loving It (1995),Comedy|Horror,gangster
12,Balto (1995),Adventure|Animation|Children,mafia
13,Nixon (1995),Drama,Al Pacino
14,Cutthroat Island (1995),Action|Adventure|Romance,Mafia
15,Casino (1995),Crime|Drama,holocaust
16,Sense and Sensibility (1995),Drama|Romance,true story
17,Four Rooms (1995),Comedy,twist ending
18,Ace Ventura: When Nature Calls (1995),Comedy,Anthony Hopkins
19,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,courtroom drama
20,Get Shorty (1995),Comedy|Crime|Thriller,twist ending
21,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,britpop
22,Assassins (1995),Action|Crime|Thriller,indie record label
23,Powder (1995),Drama|Sci-Fi,music
24,Leaving Las Vegas (1995),Drama|Romance,dumpster diving
25,Othello (1995),Drama,Sustainability
26,Now and Then (1995),Children|Drama,romantic comedy
27,Persuasion (1995),Drama|Romance,wedding
28,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,painter
29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,bloody
30,Dangerous Minds (1995),Drama,black hole
31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,sci-fi
32,Babe (1995),Children|Drama,time-travel
34,Dead Man Walking (1995),Crime|Drama,fantasy
36,It Takes Two (1995),Children|Comedy,magic board game
38,Clueless (1995),Comedy|Romance,Robin Williams
39,"Cry, the Beloved Country (1995)",Drama,beautiful scenery
40,Richard III (1995),Drama|War,epic
41,Dead Presidents (1995),Action|Crime|Drama,historical
42,Restoration (1995),Drama,inspirational
43,Mortal Kombat (1995),Action|Adventure|Fantasy,Medieval
44,To Die For (1995),Comedy|Drama|Thriller,mel gibson
45,How to Make an American Quilt (1995),Drama|Romance,Oscar (Best Cinematography)
46,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,revenge
47,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,sword fight
48,When Night Is Falling (1995),Drama|Romance,black comedy
49,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,Christina Ricci
50,Mighty Aphrodite (1995),Comedy|Drama|Romance,Christopher Lloyd
52,Lamerica (1994),Adventure|Drama,dark comedy
53,"Big Green, The (1995)",Children|Comedy,family
54,Georgia (1995),Drama,gothic
55,Home for the Holidays (1995),Drama,Al Pacino
57,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,Andy Garcia
58,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,Classic
60,Eye for an Eye (1996),Drama|Thriller,Francis Ford Coppola
61,Mr. Holland's Opus (1995),Drama,mafia
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,black comedy
63,Two if by Sea (1996),Comedy|Romance,Christina Ricci
64,Bio-Dome (1996),Comedy,Christopher Lloyd
65,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,Family
66,French Twist (Gazon maudit) (1995),Comedy|Romance,gothic
68,Friday (1995),Comedy,quirky
69,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,family
70,Fair Game (1995),Action,funny
71,Kicking and Screaming (1995),Comedy|Drama,Macaulay Culkin
72,"Misérables, Les (1995)",Drama|War,sequel
73,Bed of Roses (1996),Drama|Romance,animation
74,Big Bully (1996),Comedy|Drama,Disney
75,Screamers (1995),Action|Sci-Fi|Thriller,funny
76,Nico Icon (1995),Documentary,original
77,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,Pixar
78,"Juror, The (1996)",Drama|Thriller,sequel
79,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,Tom Hanks
80,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,ancient Rome
81,Antonia's Line (Antonia) (1995),Comedy|Drama,Epic
82,Once Upon a Time... When We Were Colored (1995),Drama|Romance,history
83,Angels and Insects (1995),Drama|Romance,imdb top 250
85,White Squall (1996),Action|Adventure|Drama,revenge
86,Dunston Checks In (1996),Children|Comedy,Rome
87,Black Sheep (1996),Comedy,Russell Crowe
88,Nick of Time (1995),Action|Thriller,Ed Harris
89,Mary Reilly (1996),Drama|Horror|Thriller,Jude Law
92,Vampire in Brooklyn (1995),Comedy|Horror|Romance,Rachel Weisz
93,Beautiful Girls (1996),Comedy|Drama|Romance,sniper
94,Broken Arrow (1996),Action|Adventure|Thriller,World War II
95,In the Bleak Midwinter (1995),Comedy|Drama,Al Pacino
96,"Hate (Haine, La) (1995)",Crime|Drama,atmospheric
97,Heidi Fleiss: Hollywood Madam (1995),Documentary,Hilary Swank
99,City Hall (1996),Drama|Thriller,Robin Williams
100,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,sequel
101,Mr. Wrong (1996),Comedy,violent
102,Unforgettable (1996),Mystery|Sci-Fi|Thriller,dogs
103,Happy Gilmore (1996),Comedy,Eric Bana
104,"Bridges of Madison County, The (1995)",Drama|Romance,mad scientist
105,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,marvel
106,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,captain nemo
107,Catwalk (1996),Documentary,comic book
108,Braveheart (1995),Action|Drama|War,gothic
110,Taxi Driver (1976),Crime|Drama|Thriller,Peta Wilson
111,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,Sean Connery
112,Before and After (1996),Drama|Mystery,superhero
113,Anne Frank Remembered (1995),Documentary,adventure
116,"Young Poisoner's Handbook, The (1995)",Crime|Drama,Angelina Jolie
